,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
9350,TUR36424,TUR,36424,VIRANSEHIR,121400.0,82.03,51.06699999999999,51.06699999999999,0.02,21.61,21.0,0.6099999999999994,37.23789785,39.77096338,1479.946361087407
9355,TUR36441,TUR,36441,KIZILTEPE,113100.0,134.73,51.06699999999999,51.06699999999999,1.48,22.51,21.82,0.6900000000000013,37.20047657,40.5729394,839.456691160098
9359,CHN36449,CHN,36449,LAIZHOU,366564.0,155.97,38.76,38.76,0.85,22.82,22.51,0.3099999999999987,37.18424699,119.9328466,2350.22119638392
9360,KOR36450,KOR,36450,CHECHON,114696.0,198.42,31.85,31.85,2.05,19.51,19.25,0.26000000000000156,37.1689191,128.2529475,578.0465678863018
9365,TUR36459,TUR,36459,KARAMAN,105400.0,158.0,45.95,45.95,-1.33,13.01,12.98,0.02999999999999936,37.19280729,33.24734053,667.0886075949367
9367,USA36463,USA,36463,JOPLIN,105379.2,1061.05,39.28,39.28,0.04,20.46,20.04,0.4200000000000017,37.06583914,-94.55733955,97.71452806182556
9369,CHN36467,CHN,36467,JULU,114693.0,47.765,41.61,41.61,0.38,22.3,20.61,1.6900000000000013,37.21969164,115.0411658,4933.032258064516
9372,TUR36476,TUR,36476,SANLIURFA,385600.0,210.08,51.06699999999999,51.06699999999999,-1.02,23.36,21.91,1.4499999999999993,37.15940751,38.8128449,1835.4912414318353
9388,TUR36520,TUR,36520,GAZIANTEP,853500.0,369.16,51.06699999999999,51.06699999999999,-1.62,20.45,20.03,0.41999999999999815,37.09319297,37.36273882,2312.005634413262
9390,CHN36522,CHN,36522,TIANZHEN,130898.0,69.1,38.83,38.83,0.1,20.28,20.82,-0.5399999999999991,37.16802705,117.8341878,1894.3270622286543
9391,CHN36525,CHN,36525,RONGCHENG,323226.0,142.41,35.73,35.73,2.42,22.48,21.84,0.6400000000000006,37.16327272,122.4482,2269.6861175479253
9396,IRN36539,IRN,36539,MYANDOAB,108773.0,498.89,44.73,44.73,-1.7769999999999997,17.39,17.66,-0.2699999999999996,37.04901218,46.09237822,218.0300266591834
